timestamp,epoch,train_acc,test_acc,train_loss,test_loss,n_params,n_params_full,activations,train_time,prune_time,experiment
20200117T221049,38,0.9746271186440678,0.9343,0.07012103251260468,0.23541614711284636,1800449,16849994,733-38-22,18.364180309697986,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,39,0.9756101694915255,0.9326,0.0654477125002166,0.2338698126375675,1800449,16849994,733-38-22,18.27110638935119,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,40,0.9761694915254238,0.9299,0.0676042221565494,0.23509577065706252,1800449,16849994,733-38-22,18.417598001658916,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,41,0.9769830508474576,0.9297,0.06448776031039276,0.24921195954084396,1800449,16849994,733-38-22,18.352740990929306,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,42,0.9781355932203389,0.9324,0.06142146491950725,0.24497039020061492,1800449,16849994,733-38-22,18.528037678450346,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,43,0.9781694915254238,0.9315,0.0613953048852667,0.25266300737857816,1800449,16849994,733-38-22,18.42271293886006,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,44,0.9776610169491525,0.9318,0.05910891767086114,0.24479102864861488,1800449,16849994,733-38-22,18.364689584821463,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,45,0.9795423728813559,0.9303,0.05821427221299481,0.2557847261428833,1800449,16849994,733-38-22,18.44381965510547,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,46,0.9803050847457627,0.931,0.055039022013671314,0.2565213367342949,1800449,16849994,733-38-22,18.315860378555954,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,47,0.9804406779661017,0.9295,0.05476278394571174,0.25507343262434007,1800449,16849994,733-38-22,18.413210910744965,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,48,0.9810338983050847,0.9313,0.0532891522643109,0.25320219397544863,1800449,16849994,733-38-22,18.369665461592376,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,49,0.9817457627118644,0.9354,0.05096210263890483,0.24072812646627426,1800449,16849994,733-38-22,18.364366084337234,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,50,0.9827288135593221,0.934,0.04831772292569532,0.24969825744628907,1800449,16849994,733-38-22,18.539917711168528,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,1,0.8408305084745763,0.869,0.46149978607387865,0.3844002768397331,16849994,16849994,4096-64-32,34.70693822577596,28.507933093234897,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,2,0.8860169491525424,0.8907,0.31138357176619064,0.30578424111008645,8763482,16849994,2128-64-32,31.38689638953656,4.521119153127074,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,3,0.8967627118644068,0.9063,0.28380005761223326,0.2821780122816563,6443271,16849994,2128-47-32,25.57581717055291,4.607162691652775,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T223047,4,0.9074576271186441,0.9043,0.2540231407825219,0.2612880565226078,6441918,16849994,2128-47-29,24.16201671026647,10.788178000599146,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
